pilot_name,pilot_country,pilot_serve,air_vic,oth_air_vic,notes,mia_or_kia
Erich Hartmann,Germany,Luftwaffe,352,NA,Top ace of all time. Double-Ace in a Day,Lived
Gerhard Barkhorn,Germany,Luftwaffe,301,NA,NA,Lived
Günther Rall,Germany,Luftwaffe,275,NA,Later Inspekteur der Luftwaffe der Bundeswehr.,Lived
Otto Kittel †,Germany,Luftwaffe,267,NA,Top scoring Focke-Wulf 190 ace.,"KIA, MIA, Died of wounds"
Walter Nowotny †,Germany,Luftwaffe,258,NA,NA,"KIA, MIA, Died of wounds"
Wilhelm Batz,Germany,Luftwaffe,237,NA,NA,Lived
Erich Rudorffer,Germany,Luftwaffe,222,NA,Jet ace with 12 victories in Me 262.  Double-Ace in a Day,Lived
Heinz Bär,Germany,Luftwaffe,220,NA,Jet ace with 16 victories in Me 262,Lived
Hermann Graf,Germany,Luftwaffe,212,NA,First ever pilot with 200 victories,Lived
Heinrich Ehrler †,Germany,Luftwaffe,208,NA,Jet ace with 5 victories in Me 262,"KIA, MIA, Died of wounds"
Theodor Weissenberger,Germany,Luftwaffe,208,NA,Jet ace with 8 victories in Me 262,Lived
Hans Philipp †,Germany,Luftwaffe,206,NA,NA,"KIA, MIA, Died of wounds"
Walter Schuck,Germany,Luftwaffe,206,NA,Jet ace with 8 victories in Me 262,Lived
Anton Hafner †,Germany,Luftwaffe,204,NA,NA,"KIA, MIA, Died of wounds"
Helmut Lipfert,Germany,Luftwaffe,203,NA,NA,Lived
Walter Krupinski,Germany,Luftwaffe,197,NA,NA,Lived
Anton Hackl,Germany,Luftwaffe,192,NA,NA,Lived
Joachim Brendel,Germany,Luftwaffe,189,NA,NA,Lived
Max Stotz †,Germany,Luftwaffe,189,NA,NA,"KIA, MIA, Died of wounds"
Joachim Kirschner †,Germany,Luftwaffe,188,NA,NA,"KIA, MIA, Died of wounds"
Kurt Brändle †,Germany,Luftwaffe,180,NA,NA,"KIA, MIA, Died of wounds"
Günther Josten,Germany,Luftwaffe,178,NA,NA,Lived
Johannes Steinhoff,Germany,Luftwaffe,176,NA,Jet ace with 6 victories in Me 262,Lived
Ernst-Wilhelm Reinert,Germany,Luftwaffe,174,NA,NA,Lived
Günther Schack,Germany,Luftwaffe,174,NA,NA,Lived
Emil Lang †,Germany,Luftwaffe,173,NA,Triple-Ace in a Day,"KIA, MIA, Died of wounds"
Heinz Schmidt †,Germany,Luftwaffe,173,NA,NA,"KIA, MIA, Died of wounds"
Horst Ademeit †,Germany,Luftwaffe,166,NA,NA,"KIA, MIA, Died of wounds"
Wolf-Dietrich Wilcke †,Germany,Luftwaffe,162,NA,NA,"KIA, MIA, Died of wounds"
Hans-Joachim Marseille †,Germany,Luftwaffe,158,NA,Destroyed most Western Allied aircraft.  Triple-Ace in a Day,"KIA, MIA, Died of wounds"
Heinrich Sturm †,Germany,Luftwaffe,158,NA,NA,"KIA, MIA, Died of wounds"
Gerhard Thyben,Germany,Luftwaffe,157,NA,NA,Lived
Hans Beisswenger †,Germany,Luftwaffe,152,NA,NA,"KIA, MIA, Died of wounds"
Peter Düttmann,Germany,Luftwaffe,152,NA,NA,Lived
Gordon Gollob,Germany,Luftwaffe,150,NA,. FIRST PILOT TO 150 on 29/7/42,Lived
Fritz Tegtmeier,Germany,Luftwaffe,146,NA,NA,Lived
Albin Wolf †,Germany,Luftwaffe,144,NA,NA,"KIA, MIA, Died of wounds"
Kurt Tanzer,Germany,Luftwaffe,143,NA,NA,Lived
Friedrich-Karl Müller †,Germany,Luftwaffe,140,NA,NA,"KIA, MIA, Died of wounds"
Karl Gratz,Germany,Luftwaffe,138,NA,NA,Lived
Heinrich Setz †,Germany,Luftwaffe,138,NA,NA,"KIA, MIA, Died of wounds"
Rudolf Trenkel,Germany,Luftwaffe,138,NA,NA,Lived
Franz Schall †,Germany,Luftwaffe,137,NA,Jet ace with 14 victories in Me 262,"KIA, MIA, Died of wounds"
Walter Wolfrum,Germany,Luftwaffe,137,NA,NA,Lived
Adolf Dickfeld,Germany,Luftwaffe,136,NA,NA,Lived
Horst-Günther von Fassong †,Germany,Luftwaffe,136,NA,NA,"KIA, MIA, Died of wounds"
Otto Fönnekold †,Germany,Luftwaffe,136,NA,NA,"KIA, MIA, Died of wounds"
Karl-Heinz Weber †,Germany,Luftwaffe,136,NA,NA,"KIA, MIA, Died of wounds"
Joachim Müncheberg †,Germany,Luftwaffe,135,NA,NA,"KIA, MIA, Died of wounds"
Hans Waldmann  †,Germany,Luftwaffe,134,NA,Ace in a day,"KIA, MIA, Died of wounds"
Alfred Grislawski,Germany,Luftwaffe,133,NA,NA,Lived
Johannes Wiese,Germany,Luftwaffe,133,NA,NA,Lived
Adolf Borchers,Germany,Luftwaffe,132,NA,NA,Lived
Erwin Clausen †,Germany,Luftwaffe,132,NA,NA,"KIA, MIA, Died of wounds"
Wilhelm Lemke †,Germany,Luftwaffe,131,NA,NA,"KIA, MIA, Died of wounds"
Gerhard Hoffmann †,Germany,Luftwaffe,130,NA,NA,"KIA, MIA, Died of wounds"
Heinrich Sterr †,Germany,Luftwaffe,130,NA,NA,"KIA, MIA, Died of wounds"
Franz Eisenach,Germany,Luftwaffe,129,NA,NA,Lived
Walther Dahl,Germany,Luftwaffe,128,NA,NA,Lived
Franz Dörr,Germany,Luftwaffe,128,NA,NA,Lived
Rudolf Rademacher,Germany,Luftwaffe,126,NA,Jet ace with 8 victories in Me 262,Lived
Josef Zwernemann †,Germany,Luftwaffe,126,NA,NA,"KIA, MIA, Died of wounds"
Dietrich Hrabak,Germany,Luftwaffe,125,NA,NA,Lived
